Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,Dolap,SKT
ENDOTRAKEAL TÜP KAFLI 4 MM.,1.0,1.0,0,Bilinmiyor,SKT
ENJEKTÖR 5ML.,1.0,0.0,0,Bilinmiyor,SKT
Elastik Bandaj Hypoallergenic ArtıMed 20*150cm,1.0,1.0,25,Bilinmiyor,SKT
HAZNELİ OKSİJEN MASKESİ ÇOCUK,1.0,1.0,0,Bilinmiyor,SKT
IV Cannula Pembe Branül Kateter,1.0,1.0,0,Bilinmiyor,SKT
IV Cannula Pembe Branül Kateter,1.0,1.0,16,Bilinmiyor,SKT
"JETOKAIN 20 MG/ML+0,0125 MG/ML ENJEKSIYONLUK COZELTI",1.0,1.0,23,Bilinmiyor,SKT
KAPRIL 25 MG 48 TABLET,1.0,1.0,20,Bilinmiyor,SKT
KATARIN 250 MG/100 MG/2 MG 30 KAPSUL,1.0,1.0,8,Bilinmiyor,SKT
Laryngeal Mask adult 4,1.0,1.0,105,Bilinmiyor,SKT
Lasix,1.0,1.0,0,Bilinmiyor,SKT
MUSCORIL 4 MG 20 KAPSUL,1.0,1.0,55,Bilinmiyor,SKT
NAZAL OKSİJEN KANÜLÜ YETİŞKİN,1.0,1.0,0,Bilinmiyor,SKT
NAZAL OKSİJEN KANÜLÜ ÇOCUK/PEDİATRİC,1.0,1.0,52,Bilinmiyor,SKT
NEXIUM 40 MG ENTERIK KAPLI 28 PELLET TABLET,1.0,1.0,58,Bilinmiyor,SKT
NOVALGIN 2 ML 10 AMPUL,1.0,1.0,27,Bilinmiyor,SKT
NOVAQUA TEK DOZLUK GOZ DAMLASI 30 FLAKON,1.0,1.0,78,Bilinmiyor,SKT
Nazal Oksijen Kanülü Adult/Yetişkin,1.0,1.0,0,Bilinmiyor,SKT
PREDNOL-L 40 MG 1 AMPUL,1.0,1.0,252,Bilinmiyor,SKT
PREDNOL-L 40 MG FLAKON,1.0,1.0,35,TARİHİ GEÇEN İLAÇLAR,SKT
SEDEVER 5MG/5ML 5 AMP.,1.0,1.0,11,Bilinmiyor,SKT
SKT-2019-01:6 kutu,1.0,1.0,2029,Bilinmiyor,SKT
"SKT-2020-04:8 kutu, SKT-3000-12:8 kutu",1.0,1.0,2037,Bilinmiyor,SKT
"SKT-2020-11:1 kutu, SKT-3000-12:1 kutu",1.0,1.0,3016,Bilinmiyor,SKT
SKT-2024-07:10 kutu,1.0,1.0,2035,Bilinmiyor,SKT
SKT-2024-12:1 kutu,1.0,1.0,0,Bilinmiyor,SKT
SKT-2024-12:1 kutu,1.0,1.0,2036,Bilinmiyor,SKT
"SKT-2025-01:2 kutu, SKT-2024-11:1 kutu",1.0,1.0,2038,Bilinmiyor,SKT
SKT-2025-01:3 kutu,1.0,1.0,2035,Bilinmiyor,SKT
SKT-2025-03:1 kutu,1.0,1.0,2031,Bilinmiyor,SKT
SKT-2025-05:1 kutu,1.0,1.0,3013,Bilinmiyor,SKT
SKT-2025-09:1 kutu,1.0,1.0,0,Bilinmiyor,SKT
"SKT-2025-09:2 kutu, SKT-2025-05:1 kutu",1.0,1.0,2036,Bilinmiyor,SKT
SKT-2025-11:1 kutu,1.0,1.0,2036,Bilinmiyor,SKT
SKT-2025-11:1 kutu,1.0,1.0,2030,Bilinmiyor,SKT
SKT-2025-12:1 kutu,1.0,1.0,2028,Bilinmiyor,SKT
SKT-2026-02:1 kutu,1.0,1.0,4072,Bilinmiyor,SKT
"SKT-2026-03:6 kutu, SKT-2026-02:2 kutu",1.0,1.0,2032,Bilinmiyor,SKT
SKT-2026-04:1 kutu,1.0,1.0,2032,Bilinmiyor,SKT
SKT-2026-05:1 kutu,1.0,1.0,2038,Bilinmiyor,SKT
"SKT-2026-05:1 kutu, SKT-2026-06:3 kutu",1.0,1.0,2031,Bilinmiyor,SKT
SKT-2026-07:1 kutu,1.0,1.0,2036,Bilinmiyor,SKT
SKT-2026-08:2 kutu,1.0,1.0,2039,Bilinmiyor,SKT
SKT-2026-09:1 kutu,1.0,1.0,2029,Bilinmiyor,SKT
SKT-2026-09:1 kutu,1.0,1.0,2032,Bilinmiyor,SKT
SKT-2026-11:1 kutu,1.0,1.0,0,Bilinmiyor,SKT
"SKT-2026-11:15 kutu, SKT-2026-08:1 kutu, SKT-2025-09:1 kutu",1.0,1.0,2036,Bilinmiyor,SKT
SKT-2026-11:34 kutu,1.0,1.0,2034,Bilinmiyor,SKT
"SKT-2026-12:1 kutu, SKT-2025-07:1 kutu, SKT-2025-10:1 kutu",1.0,1.0,10166,Bilinmiyor,SKT
"SKT-2026-12:3 kutu, SKT-2027-01:3 kutu",1.0,1.0,2037,Bilinmiyor,SKT
SKT-2027-01:2 kutu,1.0,1.0,2035,Bilinmiyor,SKT
"SKT-2027-04:3 kutu, SKT-2027-01:2 kutu, SKT-2028-03:1 kutu",1.0,1.0,2037,Bilinmiyor,SKT
SKT-2027-05:1 kutu,1.0,1.0,2037,Bilinmiyor,SKT
"SKT-2027-06:1 kutu, SKT-2026-02:9 kutu",1.0,1.0,2042,Bilinmiyor,SKT
"SKT-2027-08:1 kutu, SKT-2028-01:1 kutu",1.0,1.0,4063,Bilinmiyor,SKT
SKT-2027-08:6 kutu,1.0,1.0,2029,Bilinmiyor,SKT
SKT-2027-09:1 kutu,1.0,1.0,2041,Bilinmiyor,SKT
SKT-2027-09:1 kutu,1.0,1.0,2033,Bilinmiyor,SKT
"SKT-2027-10:5 kutu, SKT-2027-09:2 kutu",1.0,1.0,2035,Bilinmiyor,SKT
SKT-2027-12:1 kutu,1.0,1.0,2132,Bilinmiyor,SKT
SKT-2028-06:200 kutu,1.0,1.0,0,Bilinmiyor,SKT
"SKT-2028-10:2 kutu, SKT-2028-11:2 kutu",1.0,1.0,2036,Bilinmiyor,SKT
SKT-2028-12:2 kutu,1.0,1.0,0,Bilinmiyor,SKT
SKT-2028-12:9 kutu,1.0,1.0,2041,Bilinmiyor,SKT
SKT-2029-03:1 kutu,1.0,1.0,2038,Bilinmiyor,SKT
SKT-2029-04:3 kutu,1.0,1.0,0,Bilinmiyor,SKT
SKT-3000-12:1 kutu,1.0,1.0,0,Bilinmiyor,SKT
SKT-3000-12:1 kutu,1.0,1.0,2028,Bilinmiyor,SKT
SKT-3000-12:1 kutu,1.0,1.0,2034,Bilinmiyor,SKT
SKT-3000-12:2 kutu,1.0,1.0,3016,Bilinmiyor,SKT
SKT-3000-12:5 kutu,1.0,1.0,3015,Bilinmiyor,SKT
Steril Emici Spanç Kompres b-good 4 kat 20*5,1.0,1.0,165,Bilinmiyor,SKT
Steril spanç gaz kompres hidrofil,1.0,1.0,0,Bilinmiyor,SKT
"TALCID 0,5 GR 40 CIG.TABLETI",1.0,1.0,16,Bilinmiyor,SKT
"TALCID 0,5 GR 40 CIG.TABLETI",1.0,1.0,41,Bilinmiyor,SKT
"TIYOKAS MONO 12,5 MG/1 G JEL (60 G)",1.0,1.0,5,Bilinmiyor,SKT
"TURKTIPSAN FENIRAMIN MALEAT 45,5 MG/2 ML IM/IV ENJEKSIYONLUK COZELTI (5 AMPUL)",1.0,1.0,88,Bilinmiyor,SKT
Toplam Ürün Kutu Sayısı,50.0,15.0,1,2d2r,SKT
Toplam Ürün Kutu Sayısı,2.0,10.0,0,1d2r,SKT
Toplam Ürün İçerik Sayısı,16.0,7.0,17,Bilinmiyor,SKT
Toplam Ürün İçerik Sayısı,144.0,12.0,1,Bilinmiyor,SKT
Toplam Ürün İçerik Sayısı,170.0,1.0,2040,Bilinmiyor,SKT
Toplam Ürün İçerik Sayısı,3.0,3.0,10,DÜ2,SKT
Tulum,1.0,1.0,0,Bilinmiyor,SKT
ULTRASOUND GEJ JEL 1000 ML.,1.0,1.0,251,Bilinmiyor,SKT
YANIK SETİ,1.0,1.0,0,Bilinmiyor,SKT
Zephirafix Fort Çözelti 1000 ml.,1.0,1.0,0,Bilinmiyor,SKT
ateş ölçer,1.0,1.0,10,Bilinmiyor,SKT
buscopan 10 mg 20 tb,1.0,1.0,29,Bilinmiyor,SKT
doğum seti,1.0,1.0,3,Bilinmiyor,SKT
laringoskop seti,1.0,1.0,0,Bilinmiyor,SKT
pamuk,1.0,1.0,255,Bilinmiyor,SKT
spançlar,1.0,1.0,0,Bilinmiyor,SKT
Ürün Adı,1.0,1.0,530,Bilinmiyor,SKT
Ürün Adı,1.0,1.0,8,Bilinmiyor,SKT
Ürün Adı,1.0,1.0,500,Bilinmiyor,SKT
Ürün Adı,1.0,1.0,255,TARİHİ GEÇEN İLAÇLAR,SKT
İdrar Torbası Musluklu 2000 ml.,1.0,1.0,0,Bilinmiyor,SKT
